Time	Channel A
(us)	(V)

0.00000000	1.34281400
0.04000000	1.25324300
0.08000000	1.16367100
0.12000000	1.07409900
0.16000000	0.93966490
0.20000000	0.80538340
0.24000000	0.67110200
0.28000000	0.53666800
0.32000000	0.40238650
0.36000000	0.26795250
0.40000000	0.13367110
0.44000000	-0.00061037
0.48000000	-0.17960140
0.52000000	-0.31403550
0.56000000	-0.44831690
0.60000000	-0.58275090
0.64000000	-0.71703240
0.68000000	-0.85131380
0.72000000	-0.98574790
0.76000000	-1.07532000
0.80000000	-1.16489100
0.83999999	-1.25446300
0.87999999	-1.34403500
0.91999999	-1.43360700
0.95999999	-1.47831700
0.99999999	-1.47831700
1.03999999	-1.52302600
1.07999999	-1.52302600
1.11999999	-1.52302600
1.15999999	-1.52302600
1.19999999	-1.47831700
1.23999999	-1.43360700
1.27999999	-1.38874500
1.31999999	-1.29917300
1.35999999	-1.25446300
1.39999999	-1.12002900
1.43999999	-1.03045700
1.47999999	-0.94088570
1.51999999	-0.80660420
1.55999999	-0.71703240
1.59999999	-0.58275090
1.63999999	-0.40360730
1.67999999	-0.31403550
1.71999999	-0.17960140
1.75999999	-0.00061037
1.79999999	0.13367110
1.83999999	0.26795250
1.87999999	0.40238650
1.91999999	0.53666800
1.95999999	0.67110200
1.99999999	0.80538340
2.03999999	0.89495530
2.07999999	1.02923700
2.11999999	1.11880900
2.15999999	1.20838000
2.19999999	1.29795200
2.23999999	1.38752400
2.27999999	1.43238600
2.31999999	1.47709600
2.35999999	1.52180600
2.39999999	1.52180600
2.43999999	1.52180600
2.47999998	1.52180600
2.51999998	1.47709600
2.55999998	1.43238600
2.59999998	1.43238600
2.63999998	1.34281400
2.67999998	1.25324300
2.71999998	1.20838000
2.75999998	1.11880900
2.79999998	0.98452710
2.83999998	0.89495530
2.87999998	0.76052120
2.91999998	0.67110200
2.95999998	0.53666800
2.99999998	0.35752430
3.03999998	0.26795250
3.07999998	0.13367110
3.11999998	-0.00061037
3.15999998	-0.17960140
3.19999998	-0.31403550
3.23999998	-0.40360730
3.27999998	-0.53788870
3.31999998	-0.71703240
3.35999998	-0.80660420
3.39999998	-0.94088570
3.43999998	-1.03045700
3.47999998	-1.12002900
3.51999998	-1.20960100
3.55999998	-1.25446300
3.59999998	-1.34403500
3.63999998	-1.38874500
3.67999998	-1.43360700
3.71999998	-1.43360700
3.75999998	-1.43360700
3.79999998	-1.43360700
3.83999998	-1.43360700
3.87999998	-1.43360700
3.91999998	-1.34403500
