Time	Channel A
(us)	(mV)

0.00000000	-64.68703000
0.04000000	-70.07660000
0.08000000	-73.67168000
0.12000000	-73.67168000
0.16000000	-71.87719000
0.20000000	-68.28211000
0.24000000	-64.68703000
0.28000000	-61.09195000
0.32000000	-57.50298000
0.36000000	-52.10730000
0.40000000	-48.51222000
0.44000000	-44.92325000
0.48000000	-43.12265000
0.52000000	-41.32816000
0.56000000	-39.52757000
0.60000000	-35.93859000
0.64000000	-34.13800000
0.68000000	-30.54292000
0.72000000	-26.95395000
0.76000000	-21.55827000
0.80000000	-16.16870000
0.83999999	-8.98464900
0.87999999	-3.58897700
0.91999999	5.38956800
0.95999999	12.57363000
0.99999999	19.76379000
1.03999999	26.95395000
1.07999999	34.13800000
1.11999999	43.12265000
1.15999999	50.31281000
1.19999999	61.09195000
1.23999999	71.87719000
1.27999999	82.65633000
1.31999999	86.25141000
1.35999999	89.84650000
1.39999999	88.04590000
1.43999999	84.45692000
1.47999999	75.47227000
1.51999999	75.47227000
1.55999999	66.48762000
1.59999999	64.68703000
1.63999999	57.50298000
1.67999999	50.31281000
1.71999999	37.73308000
1.75999999	30.54292000
1.79999999	23.35887000
1.83999999	16.16870000
1.87999999	7.18405700
1.91999999	0.00000000
1.95999999	-10.77914000
1.99999999	-21.55827000
2.03999999	-35.93859000
2.07999999	-46.71774000
2.11999999	-57.50298000
2.15999999	-66.48762000
2.19999999	-71.87719000
2.23999999	-73.67168000
2.27999999	-73.67168000
2.31999999	-71.87719000
2.35999999	-68.28211000
2.39999999	-64.68703000
2.43999999	-59.29746000
2.47999998	-53.90789000
2.51999998	-50.31281000
2.55999998	-44.92325000
2.59999998	-43.12265000
2.63999998	-41.32816000
2.67999998	-39.52757000
2.71999998	-35.93859000
2.75999998	-30.54292000
2.79999998	-28.74844000
2.83999998	-30.54292000
2.87999998	-28.74844000
2.91999998	-21.55827000
2.95999998	-12.57363000
2.99999998	-7.18405700
3.03999998	-1.79448800
3.07999998	5.38956800
3.11999998	14.37422000
3.15999998	23.35887000
3.19999998	30.54292000
3.23999998	35.93859000
3.27999998	46.71774000
3.31999998	55.70238000
3.35999998	68.28211000
3.39999998	77.26676000
3.43999998	86.25141000
3.47999998	88.04590000
3.51999998	89.84650000
3.55999998	86.25141000
3.59999998	82.65633000
3.63999998	77.26676000
3.67999998	71.87719000
3.71999998	66.48762000
3.75999998	59.29746000
3.79999998	52.10730000
3.83999998	43.12265000
3.87999998	35.93859000
3.91999998	28.74844000
3.95999998	19.76379000
3.99999998	12.57363000
4.03999998	3.58897700
4.07999998	-7.18405700
4.11999997	-16.16870000
4.15999997	-28.74844000
4.19999997	-41.32816000
4.23999997	-52.10730000
4.27999997	-62.89254000
4.31999997	-70.07660000
4.35999997	-73.67168000
4.39999997	-75.47227000
4.43999997	-71.87719000
4.47999997	-70.07660000
4.51999997	-66.48762000
4.55999997	-62.89254000
4.59999997	-57.50298000
4.63999997	-52.10730000
4.67999997	-48.51222000
4.71999997	-44.92325000
4.75999997	-43.12265000
4.79999997	-39.52757000
4.83999997	-37.73308000
4.87999997	-35.93859000
4.91999997	-32.34352000
4.95999997	-30.54292000
4.99999997	-25.15336000
5.03999997	-21.55827000
5.07999997	-16.16870000
5.11999997	-10.77914000
5.15999997	-1.79448800
5.19999997	3.58897700
5.23999997	10.77914000
5.27999997	17.96930000
5.31999997	25.15336000
5.35999997	32.34352000
5.39999997	41.32816000
5.43999997	50.31281000
5.47999997	62.89254000
5.51999997	71.87719000
5.55999997	82.65633000
5.59999997	86.25141000
5.63999997	89.84650000
5.67999997	88.04590000
5.71999997	86.25141000
5.75999996	79.06125000
5.79999996	75.47227000
5.83999996	70.07660000
5.87999996	62.89254000
5.91999996	55.70238000
5.95999996	48.51222000
5.99999996	39.52757000
6.03999996	30.54292000
6.07999996	25.15336000
6.11999996	16.16870000
6.15999996	8.98464900
6.19999996	0.00000000
6.23999996	-10.77914000
6.27999996	-21.55827000
6.31999996	-34.13800000
6.35999996	-44.92325000
6.39999996	-53.90789000
6.43999996	-71.87719000
6.47999996	-80.86184000
6.51999996	-70.07660000
6.55999996	-66.48762000
6.59999996	-70.07660000
6.63999996	-71.87719000
6.67999996	-66.48762000
6.71999996	-57.50298000
6.75999996	-53.90789000
6.79999996	-52.10730000
6.83999996	-46.71774000
6.87999996	-43.12265000
6.91999996	-43.12265000
6.95999996	-41.32816000
6.99999996	-37.73308000
7.03999996	-35.93859000
7.07999996	-34.13800000
7.11999996	-28.74844000
7.15999996	-23.35887000
7.19999996	-17.96930000
7.23999996	-14.37422000
7.27999996	-7.18405700
7.31999996	0.00000000
7.35999996	7.18405700
7.39999996	14.37422000
7.43999995	21.55827000
7.47999995	28.74844000
7.51999995	35.93859000
7.55999995	46.71774000
7.59999995	52.10730000
7.63999995	66.48762000
7.67999995	75.47227000
7.71999995	82.65633000
7.75999995	86.25141000
7.79999995	89.84650000
7.83999995	88.04590000
7.87999995	82.65633000
7.91999995	77.26676000
7.95999995	73.67168000
7.99999995	70.07660000
8.03999995	61.09195000
8.07999995	53.90789000
8.11999995	44.92325000
8.15999995	35.93859000
8.19999995	28.74844000
8.23999995	21.55827000
8.27999995	14.37422000
8.31999995	5.38956800
8.35999995	-3.58897700
8.39999995	-14.37422000
8.43999995	-25.15336000
8.47999995	-39.52757000
8.51999995	-50.31281000
8.55999995	-61.09195000
8.59999995	-68.28211000
8.63999995	-71.87719000
8.67999995	-73.67168000
8.71999995	-71.87719000
8.75999995	-71.87719000
8.79999995	-66.48762000
8.83999995	-59.29746000
8.87999995	-53.90789000
8.91999995	-50.31281000
8.95999995	-46.71774000
8.99999995	-43.12265000
9.03999995	-41.32816000
9.07999994	-39.52757000
9.11999994	-37.73308000
9.15999994	-35.93859000
9.19999994	-34.13800000
9.23999994	-32.34352000
9.27999994	-28.74844000
9.31999994	-25.15336000
9.35999994	-19.76379000
9.39999994	-12.57363000
9.43999994	-7.18405700
9.47999994	1.79448800
9.51999994	10.77914000
9.55999994	17.96930000
9.59999994	25.15336000
9.63999994	34.13800000
9.67999994	41.32816000
9.71999994	52.10730000
9.75999994	61.09195000
9.79999994	71.87719000
9.83999994	82.65633000
9.87999994	86.25141000
9.91999994	89.84650000
9.95999994	88.04590000
9.99999994	84.45692000
10.03999994	80.86184000
10.07999994	77.26676000
10.11999994	70.07660000
10.15999994	64.68703000
10.19999994	57.50298000
10.23999994	48.51222000
10.27999994	41.32816000
10.31999994	32.34352000
10.35999994	25.15336000
10.39999994	16.16870000
10.43999994	8.98464900
10.47999994	0.00000000
10.51999994	-8.98464900
10.55999994	-21.55827000
10.59999994	-34.13800000
10.63999994	-46.71774000
10.67999994	-57.50298000
10.71999993	-66.48762000
10.75999993	-71.87719000
10.79999993	-73.67168000
10.83999993	-73.67168000
10.87999993	-71.87719000
10.91999993	-66.48762000
10.95999993	-62.89254000
10.99999993	-57.50298000
11.03999993	-55.70238000
11.07999993	-50.31281000
11.11999993	-46.71774000
11.15999993	-44.92325000
11.19999993	-44.92325000
11.23999993	-55.70238000
11.27999993	-73.67168000
11.31999993	-71.87719000
11.35999993	-48.51222000
11.39999993	-35.93859000
11.43999993	-19.76379000
11.47999993	-3.58897700
11.51999993	21.55827000
11.55999993	44.92325000
11.59999993	50.31281000
11.63999993	39.52757000
11.67999993	28.74844000
11.71999993	30.54292000
11.75999993	34.13800000
11.79999993	30.54292000
11.83999993	26.95395000
11.87999993	32.34352000
11.91999993	50.31281000
11.95999993	68.28211000
11.99999993	73.67168000
12.03999993	70.07660000
12.07999993	71.87719000
12.11999993	77.26676000
12.15999993	77.26676000
12.19999993	73.67168000
12.23999993	64.68703000
12.27999993	59.29746000
12.31999993	57.50298000
12.35999992	52.10730000
12.39999992	43.12265000
12.43999992	35.93859000
12.47999992	30.54292000
12.51999992	28.74844000
12.55999992	26.95395000
12.59999992	21.55827000
12.63999992	7.18405700
12.67999992	-8.98464900
12.71999992	-23.35887000
12.75999992	-41.32816000
12.79999992	-55.70238000
12.83999992	-71.87719000
12.87999992	-88.04590000
12.91999992	-91.64098000
12.95999992	-84.45692000
12.99999992	-75.47227000
13.03999992	-71.87719000
13.07999992	-66.48762000
13.11999992	-59.29746000
13.15999992	-53.90789000
13.19999992	-50.31281000
13.23999992	-50.31281000
13.27999992	-48.51222000
13.31999992	-43.12265000
13.35999992	-37.73308000
13.39999992	-34.13800000
13.43999992	-28.74844000
13.47999992	-25.15336000
13.51999992	-21.55827000
13.55999992	-16.16870000
13.59999992	-14.37422000
13.63999992	-14.37422000
13.67999992	-10.77914000
13.71999992	-7.18405700
13.75999992	0.00000000
13.79999992	7.18405700
13.83999992	14.37422000
13.87999992	21.55827000
13.91999992	28.74844000
13.95999992	39.52757000
13.99999991	48.51222000
14.03999991	57.50298000
14.07999991	70.07660000
14.11999991	80.86184000
14.15999991	86.25141000
14.19999991	91.64098000
14.23999991	91.64098000
14.27999991	86.25141000
14.31999991	80.86184000
14.35999991	75.47227000
14.39999991	68.28211000
14.43999991	62.89254000
14.47999991	55.70238000
14.51999991	50.31281000
14.55999991	41.32816000
14.59999991	34.13800000
14.63999991	25.15336000
14.67999991	16.16870000
14.71999991	7.18405700
14.75999991	-3.58897700
14.79999991	-14.37422000
14.83999991	-25.15336000
14.87999991	-37.73308000
14.91999991	-50.31281000
14.95999991	-59.29746000
14.99999991	-66.48762000
15.03999991	-71.87719000
15.07999991	-71.87719000
15.11999991	-71.87719000
15.15999991	-70.07660000
15.19999991	-66.48762000
15.23999991	-64.68703000
15.27999991	-59.29746000
15.31999991	-55.70238000
15.35999991	-50.31281000
15.39999991	-46.71774000
15.43999991	-43.12265000
15.47999991	-41.32816000
15.51999991	-39.52757000
15.55999991	-37.73308000
15.59999991	-37.73308000
15.63999990	-35.93859000
15.67999990	-30.54292000
15.71999990	-26.95395000
15.75999990	-21.55827000
15.79999990	-14.37422000
15.83999990	-8.98464900
15.87999990	-1.79448800
15.91999990	7.18405700
15.95999990	14.37422000
15.99999990	21.55827000
16.03999990	28.74844000
16.07999990	35.93859000
16.11999990	44.92325000
16.15999990	55.70238000
16.19999990	66.48762000
16.23999990	79.06125000
16.27999990	79.06125000
16.31999990	77.26676000
16.35999990	91.64098000
16.39999990	93.44157000
16.43999990	84.45692000
16.47999990	75.47227000
16.51999990	70.07660000
16.55999990	68.28211000
16.59999990	61.09195000
16.63999990	52.10730000
16.67999990	43.12265000
16.71999990	37.73308000
16.75999990	28.74844000
16.79999990	19.76379000
16.83999990	14.37422000
16.87999990	5.38956800
16.91999990	-3.58897700
16.95999990	-12.57363000
16.99999990	-21.55827000
17.03999990	-34.13800000
17.07999990	-48.51222000
17.11999990	-59.29746000
17.15999990	-66.48762000
17.19999990	-71.87719000
17.23999990	-73.67168000
17.27999989	-73.67168000
17.31999989	-71.87719000
17.35999989	-70.07660000
17.39999989	-64.68703000
17.43999989	-61.09195000
17.47999989	-55.70238000
17.51999989	-52.10730000
17.55999989	-50.31281000
17.59999989	-52.10730000
17.63999989	-55.70238000
17.67999989	-62.89254000
17.71999989	-57.50298000
17.75999989	-50.31281000
17.79999989	-37.73308000
17.83999989	-21.55827000
17.87999989	-5.38956800
17.91999989	12.57363000
17.95999989	23.35887000
17.99999989	28.74844000
18.03999989	26.95395000
18.07999989	25.15336000
18.11999989	21.55827000
18.15999989	21.55827000
18.19999989	21.55827000
18.23999989	25.15336000
18.27999989	28.74844000
18.31999989	41.32816000
18.35999989	53.90789000
18.39999989	64.68703000
18.43999989	73.67168000
18.47999989	77.26676000
18.51999989	79.06125000
18.55999989	79.06125000
18.59999989	77.26676000
18.63999989	73.67168000
18.67999989	68.28211000
18.71999989	64.68703000
18.75999989	59.29746000
18.79999989	53.90789000
18.83999989	48.51222000
18.87999989	41.32816000
18.91999989	35.93859000
18.95999988	32.34352000
18.99999988	25.15336000
19.03999988	14.37422000
19.07999988	1.79448800
19.11999988	-12.57363000
19.15999988	-28.74844000
19.19999988	-46.71774000
19.23999988	-62.89254000
19.27999988	-73.67168000
19.31999988	-80.86184000
19.35999988	-79.06125000
19.39999988	-77.26676000
19.43999988	-71.87719000
19.47999988	-66.48762000
19.51999988	-62.89254000
19.55999988	-59.29746000
19.59999988	-55.70238000
19.63999988	-53.90789000
19.67999988	-50.31281000
19.71999988	-44.92325000
19.75999988	-41.32816000
19.79999988	-37.73308000
19.83999988	-30.54292000
19.87999988	-30.54292000
19.91999988	-28.74844000
19.95999988	-23.35887000
19.99999988	-21.55827000
20.03999988	-19.76379000
20.07999988	-16.16870000
20.11999988	-14.37422000
20.15999988	-7.18405700
20.19999988	-1.79448800
20.23999988	5.38956800
20.27999988	14.37422000
20.31999988	21.55827000
20.35999988	28.74844000
20.39999988	37.73308000
20.43999988	48.51222000
20.47999988	57.50298000
20.51999988	71.87719000
20.55999988	82.65633000
20.59999987	89.84650000
20.63999987	91.64098000
20.67999987	89.84650000
20.71999987	86.25141000
20.75999987	80.86184000
20.79999987	75.47227000
20.83999987	70.07660000
20.87999987	62.89254000
20.91999987	57.50298000
20.95999987	50.31281000
