Time,Channel A
(us),(mV)

0.00000000,-10.77914000
0.04000000,-8.98464900
0.08000000,-7.18405700
0.12000000,-1.79448800
0.16000000,1.79448800
0.20000000,8.98464900
0.24000000,17.96930000
0.28000000,26.95395000
0.32000000,35.93859000
0.36000000,44.92325000
0.40000000,53.90789000
0.44000000,61.09195000
0.48000000,71.87719000
0.52000000,79.06125000
0.56000000,84.45692000
0.60000000,80.86184000
0.64000000,77.26676000
0.68000000,68.28211000
0.72000000,62.89254000
0.76000000,59.29746000
0.80000000,55.70238000
0.83999999,52.10730000
0.87999999,50.31281000
0.91999999,46.71774000
0.95999999,46.71774000
0.99999999,41.32816000
1.03999999,25.15336000
1.07999999,32.34352000
1.11999999,34.13800000
1.15999999,21.55827000
1.19999999,5.38956800
1.23999999,-7.18405700
1.27999999,-14.37422000
1.31999999,-25.15336000
1.35999999,-41.32816000
1.39999999,-52.10730000
1.43999999,-57.50298000
1.47999999,-64.68703000
1.51999999,-68.28211000
1.55999999,-70.07660000
1.59999999,-57.50298000
1.63999999,-48.51222000
1.67999999,-34.13800000
1.71999999,-30.54292000
1.75999999,-28.74844000
1.79999999,-28.74844000
1.83999999,-32.34352000
1.87999999,-34.13800000
1.91999999,-35.93859000
1.95999999,-37.73308000
1.99999999,-39.52757000
2.03999999,-41.32816000
2.07999999,-43.12265000
2.11999999,-43.12265000
2.15999999,-43.12265000
2.19999999,-37.73308000
2.23999999,-30.54292000
2.27999999,-25.15336000
2.31999999,-19.76379000
2.35999999,-16.16870000
2.39999999,-14.37422000
2.43999999,-12.57363000
2.47999998,-10.77914000
2.51999998,-7.18405700
2.55999998,-1.79448800
2.59999998,1.79448800
2.63999998,7.18405700
2.67999998,16.16870000
2.71999998,26.95395000
2.75999998,32.34352000
2.79999998,43.12265000
2.83999998,53.90789000
2.87999998,62.89254000
2.91999998,71.87719000
2.95999998,77.26676000
2.99999998,84.45692000
3.03999998,86.25141000
3.07999998,79.06125000
3.11999998,68.28211000
3.15999998,62.89254000
3.19999998,57.50298000
3.23999998,53.90789000
3.27999998,50.31281000
3.31999998,46.71774000
3.35999998,43.12265000
3.39999998,39.52757000
3.43999998,37.73308000
3.47999998,32.34352000
3.51999998,28.74844000
3.55999998,21.55827000
3.59999998,14.37422000
3.63999998,5.38956800
3.67999998,-5.38956800
3.71999998,-16.16870000
3.75999998,-28.74844000
3.79999998,-39.52757000
3.83999998,-50.31281000
3.87999998,-57.50298000
3.91999998,-64.68703000
3.95999998,-66.48762000
3.99999998,-68.28211000
4.03999998,-53.90789000
4.07999998,-43.12265000
4.11999997,-30.54292000
4.15999997,-25.15336000
4.19999997,-25.15336000
4.23999997,-28.74844000
4.27999997,-30.54292000
4.31999997,-32.34352000
4.35999997,-35.93859000
4.39999997,-39.52757000
4.43999997,-43.12265000
4.47999997,-44.92325000
4.51999997,-44.92325000
4.55999997,-44.92325000
4.59999997,-43.12265000
4.63999997,-37.73308000
4.67999997,-30.54292000
4.71999997,-23.35887000
4.75999997,-17.96930000
4.79999997,-14.37422000
4.83999997,-12.57363000
4.87999997,-8.98464900
4.91999997,-7.18405700
4.95999997,-5.38956800
4.99999997,-1.79448800
5.03999997,3.58897700
5.07999997,12.57363000
5.11999997,19.76379000
5.15999997,28.74844000
5.19999997,35.93859000
5.23999997,46.71774000
5.27999997,57.50298000
5.31999997,66.48762000
5.35999997,75.47227000
5.39999997,82.65633000
5.43999997,86.25141000
5.47999997,80.86184000
5.51999997,75.47227000
5.55999997,68.28211000
5.59999997,61.09195000
5.63999997,57.50298000
5.67999997,53.90789000
5.71999997,50.31281000
5.75999996,46.71774000
5.79999996,43.12265000
5.83999996,39.52757000
5.87999996,34.13800000
5.91999996,28.74844000
5.95999996,25.15336000
5.99999996,19.76379000
6.03999996,12.57363000
6.07999996,3.58897700
6.11999996,-10.77914000
6.15999996,-21.55827000
6.19999996,-32.34352000
6.23999996,-43.12265000
6.27999996,-52.10730000
6.31999996,-59.29746000
6.35999996,-66.48762000
6.39999996,-70.07660000
6.43999996,-64.68703000
6.47999996,-57.50298000
6.51999996,-46.71774000
6.55999996,-37.73308000
6.59999996,-30.54292000
6.63999996,-28.74844000
6.67999996,-28.74844000
6.71999996,-32.34352000
6.75999996,-35.93859000
6.79999996,-37.73308000
6.83999996,-41.32816000
6.87999996,-43.12265000
6.91999996,-44.92325000
6.95999996,-44.92325000
6.99999996,-44.92325000
7.03999996,-41.32816000
7.07999996,-37.73308000
7.11999996,-30.54292000
7.15999996,-23.35887000
7.19999996,-19.76379000
7.23999996,-14.37422000
7.27999996,-8.98464900
7.31999996,-8.98464900
7.35999996,-5.38956800
7.39999996,-3.58897700
7.43999995,3.58897700
7.47999995,10.77914000
7.51999995,16.16870000
7.55999995,21.55827000
7.59999995,28.74844000
7.63999995,35.93859000
7.67999995,46.71774000
7.71999995,57.50298000
7.75999995,62.89254000
7.79999995,71.87719000
7.83999995,79.06125000
7.87999995,86.25141000
7.91999995,80.86184000
7.95999995,71.87719000
7.99999995,64.68703000
8.03999995,61.09195000
8.07999995,57.50298000
8.11999995,55.70238000
8.15999995,48.51222000
8.19999995,44.92325000
8.23999995,43.12265000
8.27999995,35.93859000
8.31999995,32.34352000
8.35999995,28.74844000
8.39999995,21.55827000
8.43999995,14.37422000
8.47999995,7.18405700
8.51999995,-1.79448800
8.55999995,-12.57363000
8.59999995,-23.35887000
8.63999995,-34.13800000
8.67999995,-44.92325000
8.71999995,-53.90789000
8.75999995,-62.89254000
8.79999995,-64.68703000
8.83999995,-66.48762000
8.87999995,-61.09195000
8.91999995,-53.90789000
8.95999995,-43.12265000
8.99999995,-35.93859000
9.03999995,-30.54292000
9.07999994,-28.74844000
9.11999994,-30.54292000
9.15999994,-34.13800000
9.19999994,-35.93859000
9.23999994,-39.52757000
9.27999994,-43.12265000
9.31999994,-44.92325000
9.35999994,-44.92325000
9.39999994,-44.92325000
9.43999994,-44.92325000
9.47999994,-43.12265000
9.51999994,-35.93859000
9.55999994,-30.54292000
9.59999994,-23.35887000
9.63999994,-17.96930000
9.67999994,-12.57363000
9.71999994,-10.77914000
9.75999994,-8.98464900
9.79999994,-7.18405700
9.83999994,-3.58897700
9.87999994,0.00000000
9.91999994,7.18405700
9.95999994,14.37422000
9.99999994,23.35887000
10.03999994,28.74844000
10.07999994,37.73308000
10.11999994,46.71774000
10.15999994,55.70238000
10.19999994,62.89254000
10.23999994,71.87719000
10.27999994,79.06125000
10.31999994,84.45692000
10.35999994,80.86184000
10.39999994,75.47227000
10.43999994,68.28211000
10.47999994,59.29746000
10.51999994,57.50298000
10.55999994,52.10730000
10.59999994,48.51222000
10.63999994,44.92325000
10.67999994,39.52757000
10.71999993,35.93859000
10.75999993,30.54292000
10.79999993,26.95395000
10.83999993,23.35887000
10.87999993,5.38956800
10.91999993,0.00000000
10.95999993,1.79448800
10.99999993,-7.18405700
11.03999993,-25.15336000
11.07999993,-35.93859000
11.11999993,-44.92325000
11.15999993,-48.51222000
11.19999993,-59.29746000
11.23999993,-64.68703000
11.27999993,-64.68703000
11.31999993,-59.29746000
11.35999993,-50.31281000
11.39999993,-41.32816000
11.43999993,-32.34352000
11.47999993,-32.34352000
11.51999993,-32.34352000
11.55999993,-32.34352000
11.59999993,-30.54292000
11.63999993,-35.93859000
11.67999993,-35.93859000
11.71999993,-37.73308000
11.75999993,-35.93859000
11.79999993,-43.12265000
11.83999993,-48.51222000
11.87999993,-39.52757000
11.91999993,-44.92325000
11.95999993,-35.93859000
11.99999993,-34.13800000
12.03999993,-23.35887000
12.07999993,-21.55827000
12.11999993,-14.37422000
12.15999993,-12.57363000
12.19999993,-7.18405700
12.23999993,-3.58897700
12.27999993,-1.79448800
12.31999993,1.79448800
12.35999992,10.77914000
12.39999992,16.16870000
12.43999992,25.15336000
12.47999992,32.34352000
12.51999992,43.12265000
12.55999992,46.71774000
12.59999992,57.50298000
12.63999992,70.07660000
12.67999992,77.26676000
12.71999992,82.65633000
12.75999992,84.45692000
12.79999992,80.86184000
12.83999992,75.47227000
12.87999992,62.89254000
12.91999992,61.09195000
12.95999992,57.50298000
12.99999992,52.10730000
13.03999992,48.51222000
13.07999992,44.92325000
13.11999992,39.52757000
13.15999992,35.93859000
13.19999992,30.54292000
13.23999992,25.15336000
13.27999992,19.76379000
13.31999992,12.57363000
13.35999992,5.38956800
13.39999992,-5.38956800
13.43999992,-16.16870000
13.47999992,-28.74844000
13.51999992,-37.73308000
13.55999992,-46.71774000
13.59999992,-55.70238000
13.63999992,-62.89254000
13.67999992,-64.68703000
13.71999992,-66.48762000
13.75999992,-50.31281000
13.79999992,-43.12265000
13.83999992,-34.13800000
13.87999992,-34.13800000
13.91999992,-32.34352000
13.95999992,-32.34352000
13.99999991,-34.13800000
14.03999991,-35.93859000
14.07999991,-37.73308000
14.11999991,-39.52757000
14.15999991,-43.12265000
14.19999991,-43.12265000
14.23999991,-44.92325000
14.27999991,-44.92325000
14.31999991,-43.12265000
14.35999991,-39.52757000
14.39999991,-32.34352000
14.43999991,-26.95395000
14.47999991,-23.35887000
14.51999991,-17.96930000
14.55999991,-10.77914000
14.59999991,-12.57363000
14.63999991,-7.18405700
14.67999991,-5.38956800
14.71999991,1.79448800
14.75999991,7.18405700
14.79999991,14.37422000
14.83999991,21.55827000
14.87999991,28.74844000
14.91999991,35.93859000
14.95999991,43.12265000
14.99999991,52.10730000
15.03999991,57.50298000
15.07999991,64.68703000
15.11999991,70.07660000
15.15999991,77.26676000
15.19999991,79.06125000
15.23999991,75.47227000
15.27999991,70.07660000
15.31999991,64.68703000
15.35999991,61.09195000
15.39999991,55.70238000
15.43999991,50.31281000
15.47999991,50.31281000
15.51999991,43.12265000
15.55999991,39.52757000
15.59999991,35.93859000
15.63999990,28.74844000
15.67999990,21.55827000
15.71999990,14.37422000
15.75999990,5.38956800
15.79999990,0.00000000
15.83999990,-8.98464900
15.87999990,-16.16870000
15.91999990,-26.95395000
15.95999990,-37.73308000
15.99999990,-48.51222000
16.03999990,-57.50298000
16.07999990,-61.09195000
16.11999990,-66.48762000
16.15999990,-59.29746000
16.19999990,-50.31281000
16.23999990,-37.73308000
16.27999990,-34.13800000
16.31999990,-30.54292000
16.35999990,-30.54292000
16.39999990,-28.74844000
16.43999990,-34.13800000
16.47999990,-35.93859000
16.51999990,-35.93859000
16.55999990,-37.73308000
16.59999990,-43.12265000
16.63999990,-43.12265000
16.67999990,-43.12265000
16.71999990,-43.12265000
16.75999990,-41.32816000
16.79999990,-34.13800000
16.83999990,-21.55827000
16.87999990,-3.58897700
16.91999990,17.96930000
16.95999990,14.37422000
16.99999990,0.00000000
17.03999990,-7.18405700
17.07999990,-12.57363000
17.11999990,-25.15336000
17.15999990,-41.32816000
17.19999990,-50.31281000
17.23999990,-35.93859000
17.27999989,-3.58897700
17.31999989,21.55827000
17.35999989,37.73308000
17.39999989,53.90789000
17.43999989,70.07660000
17.47999989,88.04590000
17.51999989,93.44157000
17.55999989,93.44157000
17.59999989,89.84650000
17.63999989,89.84650000
17.67999989,88.04590000
17.71999989,77.26676000
17.75999989,68.28211000
17.79999989,61.09195000
17.83999989,59.29746000
17.87999989,57.50298000
17.91999989,53.90789000
17.95999989,46.71774000
17.99999989,39.52757000
18.03999989,34.13800000
18.07999989,26.95395000
18.11999989,16.16870000
18.15999989,5.38956800
18.19999989,-7.18405700
18.23999989,-14.37422000
18.27999989,-21.55827000
18.31999989,-28.74844000
18.35999989,-34.13800000
18.39999989,-41.32816000
18.43999989,-44.92325000
18.47999989,-50.31281000
18.51999989,-53.90789000
18.55999989,-55.70238000
18.59999989,-53.90789000
18.63999989,-46.71774000
18.67999989,-39.52757000
18.71999989,-35.93859000
18.75999989,-32.34352000
18.79999989,-32.34352000
18.83999989,-30.54292000
18.87999989,-30.54292000
18.91999989,-32.34352000
18.95999988,-35.93859000
18.99999988,-39.52757000
19.03999988,-43.12265000
19.07999988,-44.92325000
19.11999988,-50.31281000
19.15999988,-48.51222000
19.19999988,-43.12265000
19.23999988,-35.93859000
19.27999988,-26.95395000
19.31999988,-19.76379000
19.35999988,-12.57363000
19.39999988,-8.98464900
19.43999988,-5.38956800
19.47999988,-3.58897700
19.51999988,-3.58897700
19.55999988,-1.79448800
19.59999988,3.58897700
19.63999988,7.18405700
19.67999988,16.16870000
19.71999988,25.15336000
19.75999988,34.13800000
19.79999988,43.12265000
19.83999988,52.10730000
19.87999988,61.09195000
19.91999988,71.87719000
19.95999988,79.06125000
19.99999988,84.45692000
20.03999988,84.45692000
20.07999988,77.26676000
20.11999988,66.48762000
20.15999988,61.09195000
20.19999988,57.50298000
20.23999988,52.10730000
20.27999988,50.31281000
20.31999988,50.31281000
20.35999988,48.51222000
20.39999988,46.71774000
20.43999988,43.12265000
20.47999988,39.52757000
20.51999988,32.34352000
20.55999988,25.15336000
20.59999987,14.37422000
20.63999987,3.58897700
20.67999987,-3.58897700
20.71999987,-25.15336000
20.75999987,-43.12265000
20.79999987,-41.32816000
20.83999987,-44.92325000
20.87999987,-59.29746000
20.91999987,-68.28211000
